#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.035085,456.035746
64,2000,0.035047,456.530506
64,2000,0.034066,469.680812
64,2000,0.034326,466.120253
64,2000,0.037360,428.269881
64,2250,0.038819,586.855987
64,2250,0.040119,567.837193
64,2250,0.039706,573.744254
64,2250,0.045151,504.558674
64,2250,0.043297,526.160632
64,2500,0.047646,655.872991
64,2500,0.050880,614.189032
64,2500,0.055297,565.130105
64,2500,0.053454,584.618549
64,2500,0.051919,601.893571
64,2750,0.061199,679.642501
64,2750,0.059770,695.891136
64,2750,0.059569,698.249804
64,2750,0.059638,697.434347
64,2750,0.059299,701.419076
64,3000,0.074036,729.371855
64,3000,0.071026,760.282418
64,3000,0.076572,705.215155
64,3000,0.078697,686.175151
64,3000,0.078574,687.252719
64,3250,0.082579,831.401505
64,3250,0.082707,830.115894
64,3250,0.083563,821.606630
64,3250,0.081264,844.859436
64,3250,0.084957,808.127675
64,3500,0.106115,808.085004
64,3500,0.113600,754.843397
64,3500,0.106728,803.446385
64,3500,0.111859,766.588184
64,3500,0.106678,803.820663
64,3750,0.114723,919.333296
64,3750,0.114378,922.106574
64,3750,0.113922,925.796183
64,3750,0.109525,962.962861
64,3750,0.133741,788.601896
64,4000,0.135183,946.867233
64,4000,0.133482,958.929715
64,4000,0.135410,945.275463
64,4000,0.140028,914.104604
64,4000,0.134530,951.458491
64,4250,0.142830,1074.924874
64,4250,0.151724,1011.913779
64,4250,0.147315,1042.198797
64,4250,0.152170,1008.946747
64,4250,0.147053,1044.056003
64,4500,0.173725,1049.069967
64,4500,0.171101,1065.158059
64,4500,0.169255,1076.778375
64,4500,0.175311,1039.580109
64,4500,0.173278,1051.775288
64,4750,0.195476,1096.520862
64,4750,0.195178,1098.195812
64,4750,0.188778,1135.425517
64,4750,0.190620,1124.457381
64,4750,0.186218,1151.033863
64,5000,0.224095,1115.599839
64,5000,0.224492,1113.624572
64,5000,0.217180,1151.116783
64,5000,0.227624,1098.303472
64,5000,0.214705,1164.389117
64,5250,0.264183,1095.477708
64,5250,0.253375,1142.204684
64,5250,0.262744,1101.475758
64,5250,0.260069,1112.805940
64,5250,0.262111,1104.134974
64,5500,0.327697,1015.419807
64,5500,0.338481,983.067745
64,5500,0.332899,999.551558
64,5500,0.332675,1000.225662
64,5500,0.328168,1013.963674
64,5750,0.360096,1055.881805
64,5750,0.359914,1056.415061
64,5750,0.345596,1100.182104
64,5750,0.352466,1078.737622
64,5750,0.356340,1067.011434
64,6000,0.436315,990.109759
64,6000,0.433056,997.562154
64,6000,0.439897,982.048278
64,6000,0.427399,1010.766157
64,6000,0.430987,1002.350072
64,6250,0.504589,967.680313
