#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.054842,291.749164
64,2000,0.056230,284.545019
64,2000,0.059907,267.078515
64,2000,0.057685,277.368178
64,2000,0.060926,262.613395
64,2250,0.076315,298.514728
64,2250,0.077032,295.739137
64,2250,0.074717,304.899671
64,2250,0.071606,318.148955
64,2250,0.076852,296.428281
64,2500,0.089709,348.349186
64,2500,0.088499,353.109886
64,2500,0.092186,338.988276
64,2500,0.090391,345.720176
64,2500,0.078818,396.484486
64,2750,0.114802,362.309164
64,2750,0.115730,359.403688
64,2750,0.114734,362.524806
64,2750,0.118086,352.231621
64,2750,0.106174,391.749049
64,3000,0.133010,405.984522
64,3000,0.134285,402.129972
64,3000,0.132417,407.803769
64,3000,0.124889,432.382375
64,3000,0.133093,405.732757
64,3250,0.162435,422.670080
64,3250,0.168852,406.605994
64,3250,0.144765,474.261593
64,3250,0.165715,414.303581
64,3250,0.168538,407.362971
64,3500,0.185636,461.925332
64,3500,0.178311,480.901643
64,3500,0.192309,445.898113
64,3500,0.187708,456.827050
64,3500,0.193469,443.223840
64,3750,0.217475,484.969664
64,3750,0.218813,482.004692
64,3750,0.212424,496.500248
64,3750,0.205231,513.902204
64,3750,0.222656,473.685289
64,4000,0.238014,537.783709
64,4000,0.235087,544.480322
64,4000,0.258681,494.817490
64,4000,0.228312,560.636948
64,4000,0.225571,567.448910
64,4250,0.294728,520.925726
64,4250,0.306260,501.309405
64,4250,0.316566,484.989797
64,4250,0.289687,529.990114
64,4250,0.278363,551.550626
64,4500,0.314835,578.874263
64,4500,0.324030,562.448423
64,4500,0.371684,490.336505
64,4500,0.377758,482.452216
64,4500,0.333023,547.259441
64,4750,0.402010,533.179739
64,4750,0.396363,540.776204
64,4750,0.387196,553.580048
64,4750,0.409951,522.852515
64,4750,0.431160,497.132716
64,5000,0.444191,562.820490
64,5000,0.454788,549.706368
64,5000,0.466845,535.509402
64,5000,0.459428,544.154734
64,5000,0.459952,543.534651
64,5250,0.544400,531.605456
64,5250,0.509750,567.741530
64,5250,0.560871,515.994523
64,5250,0.536758,539.174077
64,5250,0.514056,562.985299
64,5500,0.585798,568.028511
64,5500,0.513114,648.491015
64,5500,0.650433,511.582675
64,5500,0.539068,617.269604
64,5500,0.548718,606.413084
64,5750,0.647689,587.039439
64,5750,0.629703,603.806482
64,5750,0.640553,593.578808
64,5750,0.614131,619.116377
64,5750,0.645787,588.768248
64,6000,0.695392,621.232185
64,6000,0.670556,644.241875
64,6000,0.693603,622.834456
64,6000,0.712604,606.227359
64,6000,0.667427,647.261642
64,6250,0.852745,572.599194
64,6250,0.817191,597.511604
64,6250,0.853318,572.214579
64,6250,0.830185,588.159311
64,6250,0.800188,610.208016
64,6500,0.873649,628.684688
64,6500,0.925511,593.455802
64,6500,0.896702,612.522452
64,6500,0.892105,615.678950
64,6500,0.849623,646.463277
64,6750,1.364234,450.871147
64,6750,1.227257,501.193878
64,6750,1.353937,454.300102
64,6750,1.047360,587.280297
64,6750,1.234799,498.132777
64,7000,1.350169,508.084596
64,7000,1.328778,516.263852
64,7000,1.291908,530.997599
64,7000,1.244563,551.197506
64,7000,1.208918,567.449367
64,7250,1.458476,522.570278
64,7250,1.428584,533.504682
64,7250,1.354483,562.691698
64,7250,1.418693,537.224095
64,7250,1.393904,546.778321
64,7500,1.422984,592.944155
64,7500,1.442818,584.793035
64,7500,1.389423,607.266420
64,7500,1.382553,610.283906
64,7500,1.463690,576.454023
64,7750,1.741379,534.615722
64,7750,1.640885,567.357721
64,7750,1.689951,550.885094
64,7750,1.615502,576.272009
64,7750,1.646304,565.490238
64,8000,1.722906,594.344698
64,8000,1.718484,595.873987
64,8000,1.698223,602.983122
64,8000,1.777222,576.180249
64,8000,1.750142,585.095531
64,8250,1.991577,563.890574
64,8250,1.963810,571.863402
64,8250,1.927389,582.669601
64,8250,1.985015,565.754531
64,8250,1.964996,571.518304
64,8500,2.104612,583.599187
64,8500,2.217523,553.883852
64,8500,2.185233,562.068151
64,8500,2.196731,559.126158
64,8500,2.154025,570.211601
64,8750,2.475573,541.225731
64,8750,2.400913,558.055835
64,8750,2.393168,559.861986
64,8750,2.436427,549.921576
64,8750,2.527075,530.195555
64,9000,2.480351,587.820054
64,9000,2.501292,582.898674
64,9000,2.459344,592.841055
64,9000,2.502862,582.533030
64,9000,2.536209,574.873648
64,9250,2.818821,561.549060
64,9250,2.819704,561.373144
64,9250,2.832556,558.826098
64,9250,2.902926,545.279633
64,9250,2.844221,556.534122
64,9500,2.938183,583.608913
64,9500,2.941164,583.017489
64,9500,2.979007,575.611246
64,9500,2.907128,589.843330
64,9500,2.945131,582.232080
64,9750,3.205973,578.207817
64,9750,3.247247,570.858620
64,9750,3.239580,572.209622
64,9750,3.229066,574.072692
64,9750,3.255162,569.470580
64,10000,3.410905,586.354708
64,10000,3.349101,597.175102
64,10000,3.394969,589.106963
64,10000,3.378028,592.061460
64,10000,3.407310,586.973365
64,10250,3.646128,590.703695
64,10250,3.594324,599.217272
64,10250,3.631846,593.026527
64,10250,3.639517,591.776725
64,10250,3.634958,592.518827
64,10500,3.748354,617.671072
64,10500,3.716221,623.011867
64,10500,3.719249,622.504733
64,10500,3.740299,619.001236
64,10500,3.702510,625.319092
64,10750,4.198389,591.796957
64,10750,4.157989,597.547022
64,10750,4.150011,598.695652
64,10750,4.118226,603.316537
64,10750,4.162921,596.839101
64,11000,4.346709,612.417359
64,11000,4.388082,606.643207
64,11000,4.392510,606.031616
64,11000,4.341122,613.205595
64,11000,4.418154,602.514073
64,11250,4.660560,611.011658
64,11250,4.746375,599.964459
64,11250,4.610645,617.626441
64,11250,4.526878,629.055229
64,11250,4.772678,596.657999
64,11500,4.746471,640.844526
64,11500,4.786966,635.423330
64,11500,4.756117,639.544806
64,11500,4.713229,645.364391
64,11500,4.721029,644.298149
64,11750,5.005770,648.145807
64,11750,5.002059,648.626640
64,11750,4.999280,648.987235
64,11750,5.018093,646.554098
64,11750,4.991394,650.012595
64,12000,5.035992,686.260080
64,12000,5.049033,684.487468
64,12000,5.070950,681.529111
64,12000,5.016272,688.957859
64,12000,4.983858,693.438702
64,12250,5.397535,681.150070
64,12250,5.349624,687.250438
64,12250,5.393315,681.683003
64,12250,5.402111,680.573055
64,12250,5.346603,687.638776
64,12500,5.568252,701.521737
64,12500,5.532162,706.098325
64,12500,5.502440,709.912345
64,12500,5.534018,705.861394
64,12500,5.501477,710.036589
64,12750,7.145370,580.144010
64,12750,4.554691,910.126191
64,12750,5.904422,702.074493
64,12750,5.911674,701.213222
64,12750,5.845902,709.102455
64,13000,6.072059,723.642463
64,13000,7.398993,593.864632
64,13000,7.443953,590.277802
64,13000,6.132770,716.478888
64,13000,6.188064,710.076727
64,13250,7.546906,616.465394
64,13250,7.903232,588.671360
64,13250,7.621040,610.468644
