#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.177859,89.958868
64,2000,0.029577,540.964979
64,2000,0.028841,554.772806
64,2000,0.029437,543.528035
64,2000,0.028863,554.340280
64,2250,0.034724,656.073835
64,2250,0.034668,657.130698
64,2250,0.033797,674.057518
64,2250,0.033034,689.638377
64,2250,0.034477,660.758836
64,2500,0.038550,810.630681
64,2500,0.041277,757.088963
64,2500,0.040349,774.485930
64,2500,0.038335,815.190922
64,2500,0.037904,824.459989
64,2750,0.044578,933.049117
64,2750,0.044627,932.030494
64,2750,0.046456,895.340938
64,2750,0.045854,907.094189
64,2750,0.047213,880.984457
64,3000,0.054276,994.920544
64,3000,0.053855,1002.692340
64,3000,0.051709,1044.309309
64,3000,0.056181,961.178482
64,3000,0.050909,1060.705804
64,3250,0.056822,1208.273589
64,3250,0.061068,1124.267731
64,3250,0.058360,1176.424273
64,3250,0.053942,1272.783438
64,3250,0.057707,1189.745030
64,3500,0.065077,1317.663560
64,3500,0.062091,1381.036153
64,3500,0.060229,1423.741523
64,3500,0.062649,1368.745321
64,3500,0.064509,1329.265002
64,3750,0.068197,1546.519799
64,3750,0.071168,1481.972324
64,3750,0.072096,1462.895924
64,3750,0.069978,1507.178381
64,3750,0.071629,1472.432874
64,4000,0.077732,1646.679812
64,4000,0.076264,1678.373717
64,4000,0.078962,1621.029227
64,4000,0.078716,1626.104320
64,4000,0.078533,1629.891310
64,4250,0.088039,1743.894567
64,4250,0.086185,1781.410639
64,4250,0.086370,1777.598335
64,4250,0.088744,1730.039969
64,4250,0.086839,1768.004628
64,4500,0.097670,1865.974787
64,4500,0.097509,1869.049059
64,4500,0.095625,1905.878227
64,4500,0.093481,1949.603086
64,4500,0.092688,1966.284155
64,4750,0.108209,1980.832084
64,4750,0.102990,2081.217909
64,4750,0.107387,1995.991957
64,4750,0.107136,2000.669261
64,4750,0.112759,1900.902593
64,5000,0.125432,1993.108421
64,5000,0.123187,2029.430097
64,5000,0.123370,2026.417054
64,5000,0.121156,2063.447784
64,5000,0.117856,2121.229685
64,5250,0.139179,2079.378884
64,5250,0.137289,2108.004106
64,5250,0.136064,2126.991372
64,5250,0.140987,2052.712039
64,5250,0.129864,2228.526911
64,5500,0.143104,2325.225922
64,5500,0.151040,2203.065152
64,5500,0.146716,2267.992341
64,5500,0.150266,2214.409975
64,5500,0.156674,2123.837570
64,5750,0.161214,2358.477985
64,5750,0.162007,2346.923173
64,5750,0.164105,2316.922698
64,5750,0.161281,2357.496606
64,5750,0.167967,2263.652340
64,6000,0.173234,2493.741675
64,6000,0.176234,2451.281100
64,6000,0.187775,2300.629976
64,6000,0.182005,2373.560801
64,6000,0.172255,2507.904733
64,6250,0.186408,2619.424388
64,6250,0.197056,2477.880804
64,6250,0.199032,2453.284785
64,6250,0.188241,2593.913432
64,6250,0.184473,2646.903730
64,6500,0.200990,2732.720098
64,6500,0.225334,2437.488786
64,6500,0.207417,2648.050694
64,6500,0.192605,2851.685319
64,6500,0.202150,2717.042486
64,6750,0.225128,2732.200757
64,6750,0.234821,2619.417803
64,6750,0.233993,2628.687607
64,6750,0.243985,2521.026150
64,6750,0.234151,2626.909818
64,7000,0.261848,2619.844100
64,7000,0.259791,2640.586042
64,7000,0.255580,2684.095508
64,7000,0.261525,2623.079337
64,7000,0.276952,2476.960002
64,7250,0.305165,2497.520425
64,7250,0.289826,2629.701996
64,7250,0.304694,2501.383618
64,7250,0.310476,2454.795441
64,7250,0.296046,2574.452434
64,7500,0.337601,2499.250232
64,7500,0.351260,2402.067604
64,7500,0.337864,2497.306520
64,7500,0.371781,2269.483345
64,7500,0.358899,2350.938072
64,7750,0.418673,2223.617007
64,7750,0.401017,2321.516940
64,7750,0.417638,2229.130719
64,7750,0.415511,2240.538125
64,7750,0.400000,2327.421252
64,8000,0.441751,2318.047982
64,8000,0.444021,2306.199458
64,8000,0.479326,2136.332392
64,8000,0.450642,2272.313792
64,8000,0.449508,2278.048677
64,8250,0.548025,2049.233088
64,8250,0.523134,2146.737449
64,8250,0.543593,2065.939966
64,8250,0.548538,2047.318332
64,8250,0.568347,1975.962068
64,8500,0.624219,1967.658254
