#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,43.275144,46.215906
1,10000,43.194930,46.301730
1,10000,43.297649,46.191884
1,10000,43.177660,46.320250
1,10000,43.249098,46.243739
2,10000,21.994148,90.933279
2,10000,21.974004,91.016640
2,10000,21.987599,90.960362
2,10000,21.998928,90.913520
2,10000,22.000176,90.908364
3,10000,14.756902,135.529798
3,10000,14.718394,135.884392
3,10000,14.843557,134.738597
3,10000,14.693282,136.116632
3,10000,14.811007,135.034708
4,10000,11.310831,176.821660
4,10000,11.275200,177.380451
4,10000,11.284605,177.232608
4,10000,11.310397,176.828451
4,10000,11.289256,177.159598
5,10000,8.844420,226.131284
5,10000,8.923425,224.129187
5,10000,8.849717,225.995931
5,10000,8.851294,225.955651
5,10000,8.860306,225.725843
6,10000,7.430267,269.169326
6,10000,7.447370,268.551183
6,10000,7.452892,268.352222
6,10000,7.424382,269.382674
6,10000,7.439928,268.819808
7,10000,6.470590,309.090822
7,10000,6.491142,308.112212
7,10000,6.470693,309.085896
7,10000,6.462549,309.475426
7,10000,6.467395,309.243530
8,10000,5.930463,337.241780
8,10000,5.946442,336.335554
8,10000,5.903610,338.775740
8,10000,5.945845,336.369351
8,10000,5.888178,339.663655
9,10000,5.190315,385.333057
9,10000,5.201082,384.535379
9,10000,5.202985,384.394738
9,10000,5.190439,385.323845
9,10000,5.201794,384.482754
10,10000,4.751713,420.900880
10,10000,4.763788,419.833946
10,10000,4.752044,420.871513
10,10000,4.764450,419.775632
10,10000,4.739507,421.984817
11,10000,4.438822,450.569958
11,10000,4.451007,449.336546
11,10000,4.445486,449.894573
11,10000,4.445180,449.925587
11,10000,4.456008,448.832256
12,10000,4.172948,479.277520
12,10000,4.182108,478.227748
12,10000,4.168673,479.768946
12,10000,4.172928,479.279814
12,10000,4.194453,476.820257
13,10000,3.864324,517.554908
13,10000,3.838768,521.000470
13,10000,3.854383,518.889788
13,10000,3.848622,519.666466
13,10000,3.842157,520.540963
14,10000,3.624054,551.868097
14,10000,3.616668,552.995129
14,10000,3.617958,552.797944
14,10000,3.629605,551.024221
14,10000,3.627047,551.412702
15,10000,3.448503,579.961852
15,10000,3.414815,585.683283
15,10000,3.449036,579.872131
15,10000,3.445670,580.438614
15,10000,3.420110,584.776447
16,10000,3.899342,512.907112
16,10000,3.904978,512.166840
16,10000,3.890997,514.007078
16,10000,3.897632,513.132089
16,10000,3.890108,514.124486
17,10000,3.473174,575.842085
17,10000,3.418406,585.067932
17,10000,3.509368,569.903115
17,10000,3.556475,562.354509
17,10000,3.531462,566.337642
18,10000,3.683267,542.996148
18,10000,3.691135,541.838761
18,10000,3.695323,541.224711
18,10000,3.678443,543.708321
18,10000,3.676921,543.933430
19,10000,3.351383,596.768488
19,10000,3.401195,588.028685
19,10000,3.363344,594.646324
19,10000,3.325516,601.410375
19,10000,3.359130,595.392276
20,10000,3.735543,535.397343
20,10000,3.731490,535.978933
20,10000,3.730388,536.137324
20,10000,3.749460,533.410204
20,10000,3.749060,533.466993
21,10000,3.289980,607.906501
21,10000,3.207409,623.556347
21,10000,3.323261,601.818472
21,10000,3.282682,609.257846
21,10000,3.262225,613.078528
22,10000,3.579132,558.794735
22,10000,3.566110,560.835185
22,10000,3.587086,557.555707
22,10000,3.575882,559.302545
22,10000,3.591883,556.811068
23,10000,3.130686,638.837564
23,10000,3.176363,629.651019
23,10000,3.127272,639.535117
23,10000,3.153685,634.178759
23,10000,3.109743,643.140053
24,10000,3.621065,552.323700
24,10000,3.609082,554.157613
24,10000,3.607877,554.342626
24,10000,3.634234,550.322291
24,10000,3.631240,550.776112
25,10000,3.068970,651.684461
25,10000,3.151919,634.534049
25,10000,3.155262,633.861723
25,10000,3.102967,644.544479
25,10000,3.057753,654.075077
26,10000,3.431422,582.848729
26,10000,3.446499,580.299081
26,10000,3.462122,577.680381
26,10000,3.469434,576.462827
26,10000,3.468550,576.609905
27,10000,3.088004,647.667653
27,10000,3.071782,651.087854
27,10000,3.079872,649.377608
27,10000,3.001687,666.292086
27,10000,3.054372,654.799141
28,10000,3.521956,567.866241
28,10000,3.559478,561.880180
28,10000,3.540915,564.825723
28,10000,3.528524,566.809287
28,10000,3.525665,567.268880
29,10000,2.999843,666.701567
29,10000,2.974820,672.309551
29,10000,3.069575,651.556004
29,10000,3.085016,648.294827
29,10000,3.117287,641.583623
30,10000,3.323790,601.722748
30,10000,3.297633,606.495603
30,10000,3.284996,608.828683
30,10000,3.302712,605.562948
30,10000,3.270812,611.468988
31,10000,3.054720,654.724577
31,10000,2.979097,671.344374
31,10000,2.966765,674.134958
31,10000,3.040099,657.873372
31,10000,3.061376,653.300978
32,10000,3.409499,586.596408
32,10000,3.404536,587.451513
32,10000,3.398674,588.464737
32,10000,3.406123,587.177785
32,10000,3.426548,583.677876
33,10000,3.130667,638.841510
33,10000,3.181632,628.608164
33,10000,3.086711,647.938804
33,10000,3.092300,646.767764
33,10000,3.073210,650.785296
34,10000,3.251750,615.053499
34,10000,3.263317,612.873360
34,10000,3.293850,607.192237
34,10000,3.293704,607.219116
34,10000,3.284495,608.921617
35,10000,3.079213,649.516714
35,10000,3.128395,639.305403
35,10000,3.031591,659.719562
35,10000,3.102088,644.727114
35,10000,3.054253,654.824503
36,10000,3.352463,596.576360
36,10000,3.365612,594.245648
36,10000,3.356229,595.906893
36,10000,3.352719,596.530837
36,10000,3.348550,597.273499
37,10000,2.983474,670.359467
37,10000,3.078162,649.738351
37,10000,3.100807,644.993387
37,10000,3.095680,646.061652
37,10000,3.082121,648.903862
38,10000,3.171067,630.702491
38,10000,3.187941,627.364131
38,10000,3.191976,626.571157
38,10000,3.214077,622.262616
38,10000,3.229797,619.233902
39,10000,2.945153,679.081812
39,10000,2.948193,678.381710
