#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,42.062093,47.548751
1,10000,42.002570,47.616133
1,10000,41.908215,47.723340
1,10000,41.904982,47.727022
1,10000,41.897416,47.735641
2,10000,22.541091,88.726848
2,10000,22.497293,88.899586
2,10000,22.554394,88.674515
2,10000,22.405026,89.265686
2,10000,22.489277,88.931272
3,10000,15.018830,133.166168
3,10000,15.007362,133.267928
3,10000,15.046447,132.921742
3,10000,15.065584,132.752899
3,10000,15.007446,133.267180
4,10000,11.133145,179.643756
4,10000,11.122550,179.814882
4,10000,11.346790,176.261309
4,10000,11.124970,179.775769
4,10000,11.151161,179.353523
5,10000,8.824343,226.645771
5,10000,8.868750,225.510914
5,10000,8.908989,224.492362
5,10000,8.945375,223.579220
5,10000,8.902497,224.656078
6,10000,7.538919,265.290036
6,10000,7.540276,265.242288
6,10000,7.528509,265.656859
6,10000,7.531504,265.551213
6,10000,7.586955,263.610356
7,10000,6.412107,311.909973
7,10000,6.448569,310.146351
7,10000,6.443699,310.380752
7,10000,6.435405,310.780732
7,10000,6.435478,310.777231
8,10000,5.628521,355.333137
8,10000,5.617058,356.058279
8,10000,5.800628,344.790248
8,10000,5.632651,355.072606
8,10000,5.642106,354.477565
9,10000,5.109256,391.446462
9,10000,5.108690,391.489808
9,10000,5.107192,391.604605
9,10000,5.116826,390.867310
9,10000,5.115784,390.946958
10,10000,4.517827,442.690739
10,10000,4.533639,441.146754
10,10000,4.523251,442.159899
10,10000,4.532165,441.290208
10,10000,4.540262,440.503252
11,10000,4.231953,472.594999
11,10000,4.282367,467.031407
11,10000,4.239738,471.727268
11,10000,4.292520,465.926724
11,10000,4.285102,466.733356
12,10000,3.857175,518.514182
12,10000,3.842107,520.547715
12,10000,3.839537,520.896189
12,10000,3.830277,522.155433
12,10000,3.906212,512.004955
13,10000,3.566340,560.798981
13,10000,3.562276,561.438799
13,10000,3.575714,559.328917
13,10000,3.567461,560.622787
13,10000,3.569676,560.274923
14,10000,3.437285,581.854522
14,10000,3.440999,581.226627
14,10000,3.429568,583.163833
14,10000,3.432907,582.596606
14,10000,3.423492,584.198776
15,10000,3.276468,610.413318
15,10000,3.268496,611.902293
15,10000,3.248769,615.617868
15,10000,3.287211,608.418553
15,10000,3.278295,610.073181
16,10000,2.980378,671.055749
16,10000,2.999582,666.759612
16,10000,2.981386,670.828970
16,10000,2.987774,669.394680
16,10000,2.989110,669.095461
17,10000,2.970837,673.210863
17,10000,2.959721,675.739398
17,10000,2.975549,672.144883
17,10000,2.954939,676.832825
17,10000,2.957967,676.139967
18,10000,2.906880,688.022833
18,10000,2.899261,689.830898
18,10000,2.886817,692.804530
18,10000,2.917193,685.590536
18,10000,2.887866,692.552929
19,10000,2.813791,710.784896
19,10000,2.808463,712.133335
19,10000,2.791576,716.441256
19,10000,2.819914,709.241613
19,10000,2.808108,712.223197
20,10000,2.534302,789.171926
20,10000,2.522060,793.002567
20,10000,2.529877,790.552117
20,10000,2.525260,791.997705
20,10000,2.536477,788.495232
21,10000,2.546776,785.306611
21,10000,2.552253,783.621254
21,10000,2.512644,795.974140
21,10000,2.572994,777.304688
21,10000,2.548999,784.621807
22,10000,2.513568,795.681590
22,10000,2.527631,791.254718
22,10000,2.508381,797.326897
22,10000,2.520713,793.426206
22,10000,2.521637,793.135506
23,10000,2.558156,781.813295
23,10000,2.551770,783.769643
23,10000,2.548372,784.814768
23,10000,2.533481,789.427788
23,10000,2.544246,786.087375
24,10000,2.541231,787.020102
24,10000,2.543192,786.413315
24,10000,2.536004,788.642295
24,10000,2.522898,792.739239
24,10000,2.529384,790.706433
25,10000,2.531669,789.992638
25,10000,2.528100,791.107884
25,10000,2.529915,790.540300
25,10000,2.524844,792.128129
25,10000,2.527110,791.417719
26,10000,2.581733,774.673525
26,10000,2.559952,781.264543
26,10000,2.587699,772.887347
26,10000,2.554600,782.901499
26,10000,2.613406,765.284858
