#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,20.621313,96.987036
1,10000,20.383590,98.118144
1,10000,20.456906,97.766493
1,10000,20.470558,97.701295
1,10000,20.632537,96.934276
2,10000,11.023444,181.431507
2,10000,11.057876,180.866556
2,10000,11.010097,181.651434
2,10000,11.029836,181.326365
2,10000,10.986657,182.039002
3,10000,7.459891,268.100436
3,10000,7.487729,267.103678
3,10000,7.444650,268.649286
3,10000,7.577252,263.947936
3,10000,7.443476,268.691670
4,10000,5.584405,358.140238
4,10000,5.595393,357.436930
4,10000,5.562267,359.565608
4,10000,5.561687,359.603119
4,10000,5.577517,358.582534
5,10000,4.318259,463.149666
5,10000,4.339437,460.889290
5,10000,4.317907,463.187360
5,10000,4.318602,463.112836
5,10000,4.309734,464.065754
6,10000,3.839691,520.875189
6,10000,3.858399,518.349696
6,10000,3.813665,524.429970
6,10000,3.827738,522.501851
6,10000,3.854208,518.913355
7,10000,3.196476,625.688989
7,10000,3.147518,635.421375
7,10000,3.138413,637.264776
7,10000,3.140385,636.864493
7,10000,3.137895,637.369964
8,10000,2.769267,722.212895
8,10000,2.768677,722.366608
8,10000,2.765965,723.074844
8,10000,2.768760,722.344979
8,10000,2.763239,723.788235
9,10000,2.474701,808.178478
9,10000,2.466187,810.968596
9,10000,2.469687,809.819318
9,10000,2.467357,810.584044
9,10000,2.466681,810.806231
10,10000,2.235552,894.633696
10,10000,2.237512,893.849939
10,10000,2.419602,826.582351
10,10000,2.231358,896.315357
10,10000,2.232639,895.800801
11,10000,2.176293,918.993811
11,10000,2.136799,935.979607
11,10000,2.128014,939.843323
11,10000,2.127930,939.880728
11,10000,2.123389,941.890403
12,10000,1.853767,1078.884505
12,10000,1.848202,1082.132817
12,10000,1.846193,1083.310596
12,10000,1.847791,1082.373361
12,10000,1.849598,1081.316140
13,10000,1.847154,1082.746671
13,10000,1.851422,1080.250556
13,10000,1.902624,1051.179606
13,10000,1.846036,1083.402324
13,10000,1.849562,1081.337001
14,10000,1.630242,1226.811941
14,10000,1.634225,1223.821521
14,10000,1.631361,1225.970188
14,10000,1.631109,1226.159995
14,10000,1.633863,1224.092579
15,10000,1.529412,1307.692384
15,10000,1.522154,1313.927789
15,10000,1.532453,1305.096983
15,10000,1.577240,1268.037830
15,10000,1.532848,1304.761222
16,10000,1.539123,1299.441598
16,10000,1.487594,1344.452940
16,10000,1.544622,1294.815205
16,10000,1.496720,1336.255623
16,10000,1.544162,1295.200950
17,10000,1.496323,1336.610236
17,10000,1.554896,1286.259364
17,10000,1.500221,1333.137217
17,10000,1.553928,1287.060980
17,10000,1.498101,1335.023521
18,10000,1.406430,1422.040665
18,10000,1.412098,1416.332078
18,10000,1.364379,1465.867855
18,10000,1.355920,1475.012969
18,10000,1.371414,1458.348491
19,10000,1.403145,1425.369056
19,10000,1.373104,1456.553988
19,10000,1.395170,1433.517260
19,10000,1.399439,1429.144440
19,10000,1.356104,1474.813368
20,10000,1.410532,1417.904958
20,10000,1.428808,1399.768065
20,10000,1.349346,1482.199204
20,10000,1.363081,1467.263797
20,10000,1.408478,1419.972721
21,10000,1.240535,1612.207851
21,10000,1.246298,1604.752843
21,10000,1.239903,1613.029936
21,10000,1.233935,1620.830277
21,10000,1.258843,1588.761023
22,10000,1.116941,1790.605250
22,10000,1.138707,1756.377910
22,10000,1.113282,1796.490578
22,10000,1.120775,1784.478807
22,10000,1.116006,1792.104309
23,10000,1.111297,1799.698459
23,10000,1.116706,1790.981481
23,10000,1.116242,1791.726661
23,10000,1.112904,1797.100291
23,10000,1.116383,1791.500164
24,10000,1.196872,1671.022257
24,10000,1.205819,1658.623988
24,10000,1.205316,1659.315870
24,10000,1.205483,1659.085583
24,10000,1.206500,1657.687610
25,10000,1.223321,1634.894210
