#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,42.669174,46.872246
1,10000,42.671218,46.870000
1,10000,42.683732,46.856259
1,10000,42.737001,46.797855
1,10000,42.697170,46.841512
2,10000,22.812889,87.669740
2,10000,22.987633,87.003304
2,10000,22.983944,87.017268
2,10000,22.949041,87.149613
2,10000,22.878330,87.418967
3,10000,15.138229,132.115847
3,10000,15.052972,132.864129
3,10000,14.998417,133.347402
3,10000,15.015149,133.198815
3,10000,15.046529,132.921023
4,10000,11.617999,172.146683
4,10000,11.586293,172.617768
4,10000,11.626937,172.014354
4,10000,11.569076,172.874646
4,10000,11.643351,171.771848
5,10000,8.948477,223.501713
5,10000,8.925347,224.080918
5,10000,8.922909,224.142141
5,10000,8.903073,224.641532
5,10000,8.965432,223.079032
6,10000,7.731325,258.687859
6,10000,7.640163,261.774515
6,10000,7.561119,264.511122
6,10000,7.550428,264.885653
6,10000,7.586091,263.640385
7,10000,6.443610,310.385004
7,10000,6.350550,314.933350
7,10000,6.353094,314.807247
7,10000,6.357957,314.566442
7,10000,6.468522,309.189625
8,10000,5.826481,343.260384
8,10000,5.777873,346.148131
8,10000,6.118686,326.867566
8,10000,5.825614,343.311463
8,10000,6.086550,328.593385
9,10000,4.969368,402.465628
9,10000,4.969105,402.486931
9,10000,4.970755,402.353336
9,10000,5.074838,394.101256
9,10000,4.979084,401.680313
10,10000,4.556593,438.924396
10,10000,4.566438,437.978134
10,10000,4.596021,435.159033
10,10000,4.548327,439.722106
10,10000,4.582129,436.478332
11,10000,4.150659,481.851245
11,10000,4.147168,482.256796
11,10000,4.133572,483.843056
11,10000,4.121944,485.207990
11,10000,4.130470,484.206401
12,10000,3.959543,505.108744
12,10000,3.972715,503.434015
12,10000,3.959735,505.084320
12,10000,3.980485,502.451300
12,10000,3.983216,502.106892
13,10000,3.568379,560.478654
13,10000,3.570044,560.217235
13,10000,3.577360,559.071535
13,10000,3.579875,558.678648
13,10000,3.555495,562.509647
14,10000,3.332278,600.190040
14,10000,3.316788,602.992993
14,10000,3.322278,601.996512
14,10000,3.328994,600.782029
14,10000,3.323239,601.822461
15,10000,3.282336,609.322072
15,10000,3.255668,614.313185
15,10000,3.280491,609.664895
15,10000,3.188070,627.338708
15,10000,3.304986,605.146280
16,10000,3.467194,576.835402
16,10000,3.451749,579.416481
16,10000,3.445652,580.441710
16,10000,3.460501,577.951074
16,10000,3.439391,581.498352
17,10000,3.216657,621.763535
17,10000,3.242482,616.811494
17,10000,3.208686,623.308081
17,10000,3.244913,616.349300
17,10000,3.239731,617.335285
18,10000,3.197847,625.420768
18,10000,3.208814,623.283262
18,10000,3.225900,619.981950
18,10000,3.178888,629.150807
18,10000,3.197877,625.414898
19,10000,3.148901,635.142295
19,10000,3.192622,626.444344
19,10000,3.171447,630.626965
19,10000,3.166003,631.711305
19,10000,3.181812,628.572644
20,10000,3.599153,555.686368
20,10000,3.572045,559.903378
20,10000,3.590979,556.951136
20,10000,3.590381,557.043956
20,10000,3.593226,556.602898
21,10000,3.389849,589.996711
21,10000,3.418102,585.119972
21,10000,3.447497,580.131115
21,10000,3.422043,584.446136
21,10000,3.425142,583.917439
22,10000,3.290624,607.787380
22,10000,3.281545,609.468949
22,10000,3.292736,607.397698
22,10000,3.280819,609.603875
22,10000,3.282408,609.308694
23,10000,3.388620,590.210765
23,10000,3.362838,594.735719
23,10000,3.394989,589.103451
23,10000,3.394875,589.123359
23,10000,3.372851,592.970131
24,10000,3.419169,584.937440
24,10000,3.426872,583.622636
24,10000,3.414061,585.812623
24,10000,3.416074,585.467411
24,10000,3.435816,582.103346
25,10000,3.461109,577.849539
25,10000,3.430095,583.074277
25,10000,3.456908,578.551720
25,10000,3.380095,591.699344
25,10000,3.429068,583.248935
26,10000,3.417712,585.186732
26,10000,3.436402,582.004010
26,10000,3.416759,585.349968
26,10000,3.451274,579.496095
26,10000,3.408414,586.783109
27,10000,3.493081,572.560515
27,10000,3.495230,572.208350
27,10000,3.493082,572.560308
27,10000,3.508522,570.040544
27,10000,3.487528,573.472104
28,10000,3.404321,587.488601
28,10000,3.418410,585.067365
28,10000,3.438506,581.648010
28,10000,3.401622,587.954881
28,10000,3.422552,584.359345
29,10000,3.432456,582.673091
29,10000,3.426669,583.657255
29,10000,3.430175,583.060595
29,10000,3.430625,582.984205
29,10000,3.411833,586.195100
30,10000,3.342419,598.369006
30,10000,3.315391,603.247057
30,10000,3.245712,616.197569
30,10000,3.315972,603.141366
30,10000,3.243384,616.639913
31,10000,3.469573,576.439798
31,10000,3.427973,583.435153
31,10000,3.417259,585.264451
31,10000,3.456141,578.680024
31,10000,3.474724,575.585345
32,10000,3.365033,594.347897
32,10000,3.357314,595.714398
32,10000,3.324644,601.568248
32,10000,3.361811,594.917429
32,10000,3.389691,590.024334
33,10000,3.400829,588.091935
33,10000,3.442933,580.900070
33,10000,3.458751,578.243418
33,10000,3.409417,586.610624
33,10000,3.528949,566.740934
34,10000,3.178602,629.207480
34,10000,3.180827,628.767230
34,10000,3.261032,613.302775
34,10000,3.180711,628.790155
34,10000,3.237813,617.700912
35,10000,3.447806,580.078993
35,10000,3.463575,577.438096
35,10000,3.467012,576.865543
35,10000,3.523132,567.676651
35,10000,3.448622,579.941705
36,10000,3.402533,587.797462
36,10000,3.471034,576.197180
36,10000,3.457637,578.429771
36,10000,3.661518,546.221545
36,10000,3.495393,572.181734
37,10000,3.502689,570.989948
37,10000,3.452723,579.252976
37,10000,3.443129,580.867042
37,10000,3.455120,578.851021
37,10000,3.459482,578.121155
38,10000,3.395928,588.940653
38,10000,3.341278,598.573311
38,10000,3.391295,589.745291
38,10000,3.366564,594.077456
38,10000,3.500088,571.414273
39,10000,3.457426,578.465066
39,10000,3.522774,567.734341
39,10000,3.431439,582.845887
39,10000,3.431669,582.806736
39,10000,3.436611,581.968722
40,10000,3.395656,588.987865
40,10000,3.283356,609.132788
40,10000,3.288936,608.099405
40,10000,3.419907,584.811199
40,10000,3.363376,594.640666
41,10000,3.465115,577.181414
41,10000,3.424964,583.947829
41,10000,3.567244,560.656935
41,10000,3.491098,572.885649
41,10000,3.439909,581.410796
42,10000,3.321642,602.111822
42,10000,3.306818,604.811050
42,10000,3.326781,601.181813
42,10000,3.272275,611.195571
42,10000,3.382384,591.299001
43,10000,3.536317,565.560122
43,10000,3.445046,580.543837
43,10000,3.428238,583.390049
43,10000,3.435688,582.125061
43,10000,3.517318,568.615067
44,10000,3.623212,551.996406
44,10000,3.524627,567.435951
44,10000,3.482551,574.291617
44,10000,3.396890,588.773823
44,10000,3.504883,570.632478
45,10000,3.442529,580.968248
45,10000,3.430117,583.070424
45,10000,3.414103,585.805445
45,10000,3.481908,574.397639
45,10000,3.440614,581.291639
46,10000,3.446222,580.345685
46,10000,3.348798,597.229131
46,10000,3.505742,570.492698
46,10000,3.713885,538.519597
46,10000,3.491022,572.898204
47,10000,3.451889,579.392923
47,10000,3.381154,591.513980
47,10000,3.402792,587.752615
47,10000,3.509829,569.828355
47,10000,3.433416,582.510287
48,10000,3.393208,589.412811
48,10000,3.347970,597.376996
48,10000,3.399516,588.319078
48,10000,3.371002,593.295409
48,10000,3.381826,591.396521
49,10000,3.491781,572.773545
49,10000,3.486164,573.696398
49,10000,3.389298,590.092666
49,10000,3.390501,589.883318
49,10000,3.453042,579.199413
50,10000,2.794602,715.665386
50,10000,3.394117,589.254848
50,10000,3.370932,593.307763
50,10000,3.428674,583.315868
50,10000,3.445891,580.401407
51,10000,3.563724,561.210696
51,10000,3.498988,571.593859
51,10000,3.455694,578.754994
51,10000,3.554237,562.708671
51,10000,3.467365,576.806863
52,10000,3.426653,583.659980
52,10000,3.444650,580.610543
52,10000,3.420174,584.765591
52,10000,3.447379,580.150834
52,10000,3.433738,582.455619
53,10000,3.522086,567.845242
53,10000,3.475030,575.534648
53,10000,3.495747,572.123845
53,10000,3.528011,566.891700
53,10000,3.486703,573.607756
54,10000,3.476406,575.306745
54,10000,3.453251,579.164363
54,10000,3.410066,586.498994
54,10000,3.462311,577.648936
54,10000,3.475064,575.528925
55,10000,3.509110,569.945110
55,10000,3.466996,576.868292
55,10000,3.435837,582.099781
55,10000,3.555657,562.483963
55,10000,3.424786,583.978011
56,10000,3.428220,583.393209
56,10000,3.401360,588.000104
56,10000,3.382276,591.317848
56,10000,3.395904,588.944862
56,10000,3.425705,583.821418
57,10000,3.489688,573.117169
57,10000,3.461386,577.803287
57,10000,3.478561,574.950421
57,10000,3.469000,576.535100
57,10000,3.555256,562.547371
58,10000,3.406813,587.058911
58,10000,3.463655,577.424798
58,10000,3.553704,562.793127
58,10000,3.434866,582.264285
58,10000,3.470318,576.315978
59,10000,3.402302,587.837364
59,10000,3.428535,583.339498
59,10000,3.443918,580.733856
59,10000,3.365456,594.273073
59,10000,3.493040,572.567131
60,10000,3.356343,595.886702
60,10000,3.274383,610.802150
60,10000,3.346881,597.571311
60,10000,3.325771,601.364395
60,10000,3.369910,593.487731
61,10000,3.448915,579.892550
61,10000,3.541238,564.774200
61,10000,3.449273,579.832409
61,10000,3.437473,581.822805
61,10000,3.454021,579.035298
62,10000,3.572158,559.885650
62,10000,3.484072,574.040976
62,10000,3.489691,573.116673
62,10000,3.478838,574.904576
62,10000,3.478298,574.993867
63,10000,3.394760,589.143234
63,10000,3.396085,588.913489
63,10000,3.528129,566.872693
63,10000,3.542235,564.615204
63,10000,3.383076,591.177929
64,10000,3.290478,607.814496
64,10000,3.347295,597.497298
64,10000,3.370278,593.422834
64,10000,3.328001,600.961339
64,10000,3.346854,597.576075
