#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,30.964241,64.590636
1,10000,31.204518,64.093282
1,10000,31.234687,64.031376
1,10000,31.524458,63.442804
1,10000,31.082810,64.344246
2,10000,16.152354,123.820961
2,10000,16.270873,122.919036
2,10000,16.427897,121.744125
2,10000,16.652211,120.104172
2,10000,16.550168,120.844692
3,10000,16.454260,121.549072
3,10000,16.350683,122.319050
3,10000,16.383661,122.072839
3,10000,16.458615,121.516909
3,10000,16.370508,122.170918
4,10000,11.333336,176.470546
4,10000,11.444898,174.750354
4,10000,11.546800,173.208168
4,10000,11.279314,177.315744
4,10000,11.306234,176.893556
5,10000,8.607561,232.353855
5,10000,8.675395,230.537060
5,10000,8.599802,232.563500
5,10000,8.666625,230.770342
5,10000,8.612178,232.229290
6,10000,5.834163,342.808371
6,10000,5.663491,353.139049
6,10000,5.809275,344.277050
6,10000,5.769069,346.676411
6,10000,5.714302,349.998998
7,10000,5.883711,339.921526
7,10000,5.819134,343.693780
7,10000,6.019305,332.264281
7,10000,5.925584,337.519487
7,10000,5.923636,337.630447
8,10000,4.538033,440.719618
8,10000,4.484473,445.983238
8,10000,4.548954,439.661487
8,10000,4.603555,434.446876
8,10000,4.631144,431.858709
9,10000,4.645112,430.560144
9,10000,4.513502,443.114890
9,10000,4.514728,442.994572
9,10000,4.527435,441.751216
9,10000,4.527886,441.707228
10,10000,4.009800,498.778010
10,10000,4.017823,497.781996
10,10000,4.005633,499.296917
10,10000,4.001965,499.754542
10,10000,4.001035,499.870625
11,10000,3.787789,528.012537
11,10000,3.677399,543.862689
11,10000,3.810380,524.882081
11,10000,3.799640,526.365688
11,10000,3.714912,538.370763
12,10000,3.206130,623.805056
12,10000,3.211540,622.754235
12,10000,3.224745,620.204079
12,10000,3.131145,638.743906
12,10000,3.138024,637.343775
13,10000,3.210687,622.919607
13,10000,3.195038,625.970574
13,10000,3.206101,623.810678
13,10000,3.212691,622.531146
13,10000,3.188962,627.163293
14,10000,2.849523,701.871872
14,10000,2.870330,696.783901
14,10000,2.885088,693.219841
14,10000,2.847315,702.416172
14,10000,2.894460,690.975233
15,10000,2.620740,763.143363
15,10000,2.787951,717.372666
15,10000,2.745464,728.474385
15,10000,2.752530,726.604186
15,10000,2.748259,727.733317
16,10000,2.729828,732.646947
16,10000,2.687307,744.239456
16,10000,2.670451,748.937131
16,10000,2.757970,725.171125
16,10000,2.699560,740.861389
17,10000,2.570887,777.941602
17,10000,2.580102,775.163116
17,10000,2.550379,784.197146
17,10000,2.608265,766.793356
17,10000,2.448611,816.789483
18,10000,2.474398,808.277377
18,10000,2.359548,847.619840
18,10000,2.434076,821.667133
18,10000,2.288224,874.040396
18,10000,2.279818,877.263132
19,10000,2.484810,804.890481
19,10000,2.327842,859.164900
19,10000,2.367877,844.638539
19,10000,2.468485,810.213475
19,10000,2.290020,873.354996
20,10000,2.106276,949.543212
20,10000,2.232050,896.037198
20,10000,2.291503,872.789416
20,10000,2.069142,966.584360
20,10000,2.277628,878.106644
21,10000,2.136564,936.082491
21,10000,2.190806,912.905941
