#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.029327,545.571298
12,2000,0.028695,557.595562
12,2000,0.029663,539.398692
12,2000,0.028939,552.891291
12,2000,0.029027,551.217911
12,2250,0.037819,602.381890
12,2250,0.038467,592.228188
12,2250,0.037675,604.671331
12,2250,0.037558,606.557571
12,2250,0.038189,596.541142
12,2500,0.049899,626.262972
12,2500,0.050237,622.057110
12,2500,0.049765,627.952482
12,2500,0.050570,617.958169
12,2500,0.050017,624.786798
12,2750,0.063835,651.582561
12,2750,0.063769,652.257871
12,2750,0.065129,638.639252
12,2750,0.064460,645.267889
12,2750,0.064412,645.746080
12,3000,0.080158,673.669856
12,3000,0.080345,672.105720
12,3000,0.080128,673.918033
12,3000,0.080540,670.474224
12,3000,0.081395,663.430469
12,3250,0.093961,730.692234
12,3250,0.093834,731.679146
12,3250,0.094082,729.745985
12,3250,0.093858,731.489433
12,3250,0.094033,730.127259
12,3500,0.117927,727.142064
12,3500,0.117496,729.810706
12,3500,0.117377,730.554802
12,3500,0.117939,727.071766
12,3500,0.117171,731.835595
12,3750,0.139353,756.847596
12,3750,0.139805,754.399000
12,3750,0.139158,757.909187
12,3750,0.139432,756.416580
12,3750,0.139900,753.886026
12,4000,0.167399,764.639029
12,4000,0.167156,765.750887
12,4000,0.166705,767.821351
12,4000,0.167144,765.805854
12,4000,0.166722,767.747347
12,4250,0.200626,765.259808
12,4250,0.201079,763.537310
12,4250,0.200304,766.490544
12,4250,0.200794,764.620694
12,4250,0.200963,763.977355
12,4500,0.233070,781.953007
12,4500,0.232698,783.205021
12,4500,0.233166,781.630465
12,4500,0.232467,783.983291
12,4500,0.232496,783.885715
12,4750,0.274238,781.597944
12,4750,0.274019,782.223497
12,4750,0.273803,782.840139
12,4750,0.274624,780.497626
12,4750,0.273526,783.630863
12,5000,0.321615,777.326807
12,5000,0.320181,780.807799
12,5000,0.321486,777.639773
12,5000,0.320671,779.614034
12,5000,0.321083,778.614524
12,5250,0.363158,796.915723
12,5250,0.364042,794.981038
12,5250,0.363326,796.546622
12,5250,0.363014,797.230685
12,5250,0.363237,796.741297
12,5500,0.418502,795.097478
12,5500,0.419216,793.743349
12,5500,0.418536,795.033108
12,5500,0.419085,793.991562
12,5500,0.419397,793.401191
12,5750,0.475435,799.728100
12,5750,0.475372,799.833504
12,5750,0.475829,799.065592
12,5750,0.475066,800.349623
12,5750,0.475116,800.265085
12,6000,0.537387,803.889191
12,6000,0.537289,804.036020
12,6000,0.537188,804.187994
12,6000,0.537186,804.190163
12,6000,0.537122,804.287192
12,6250,0.615003,793.949143
12,6250,0.615828,792.885591
12,6250,0.615457,793.364034
12,6250,0.616401,792.148650
12,6250,0.616162,792.455996
12,6500,0.684984,801.843129
12,6500,0.686390,800.200920
12,6500,0.684320,802.621712
12,6500,0.683840,803.184802
12,6500,0.685145,801.654787
12,6750,0.763769,805.339970
12,6750,0.763652,805.463109
12,6750,0.763065,806.082798
12,6750,0.764038,805.056868
12,6750,0.763898,805.203786
12,7000,0.858901,798.694890
12,7000,0.858463,799.102744
12,7000,0.859018,798.585879
12,7000,0.859987,797.686152
12,7000,0.858894,798.701818
12,7250,0.940790,810.123379
12,7250,0.941585,809.439447
12,7250,0.940109,810.710724
12,7250,0.940403,810.457197
12,7250,0.939773,811.000273
12,7500,1.057348,797.987074
12,7500,1.054558,800.098197
12,7500,1.056328,798.757298
12,7500,1.057394,797.952535
12,7500,1.060394,795.694761
12,7750,1.169309,796.170302
12,7750,1.172424,794.054469
12,7750,1.168893,796.453122
12,7750,1.169866,795.790734
12,7750,1.170390,795.434457
12,8000,1.274464,803.475333
12,8000,1.276917,801.931548
12,8000,1.279993,800.004345
12,8000,1.276976,801.894647
12,8000,1.274914,803.191730
12,8250,1.409193,796.932239
12,8250,1.417443,792.293643
12,8250,1.405590,798.975007
12,8250,1.412383,795.132392
12,8250,1.410168,796.381149
12,8500,1.554571,790.089402
12,8500,1.554259,790.247930
12,8500,1.554464,790.143930
12,8500,1.554753,789.996961
12,8500,1.559088,787.800086
12,8750,1.672517,801.094359
12,8750,1.678906,798.045756
12,8750,1.678575,798.203091
12,8750,1.678883,798.056756
12,8750,1.677450,798.738417
12,9000,1.816871,802.478548
12,9000,1.822212,800.126462
12,9000,1.817007,802.418393
12,9000,1.824504,799.121378
12,9000,1.816050,802.841327
12,9250,2.014679,785.686621
