#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.019442,822.940410
12,2000,0.015200,1052.660181
12,2000,0.015531,1030.172994
12,2000,0.017759,900.940977
12,2000,0.017694,904.283103
12,2250,0.027916,816.061019
12,2250,0.019717,1155.399561
12,2250,0.024268,938.730471
12,2250,0.027078,841.304577
12,2250,0.023593,965.575028
12,2500,0.027742,1126.433003
12,2500,0.028873,1082.310117
12,2500,0.028869,1082.483962
12,2500,0.028637,1091.240828
12,2500,0.029600,1055.735468
12,2750,0.047027,884.466078
12,2750,0.034823,1194.420140
12,2750,0.034122,1218.958521
12,2750,0.038774,1072.726602
12,2750,0.034105,1219.588145
12,3000,0.043527,1240.621904
12,3000,0.043745,1234.439321
12,3000,0.048707,1108.662473
12,3000,0.048788,1106.840415
12,3000,0.058313,926.036615
12,3250,0.070597,972.508477
12,3250,0.058407,1175.477911
12,3250,0.068128,1007.753787
12,3250,0.059081,1162.061354
12,3250,0.058808,1167.460788
12,3500,0.073364,1168.836632
12,3500,0.068544,1251.019216
12,3500,0.072225,1187.256538
12,3500,0.072869,1176.775262
12,3500,0.072570,1181.610047
12,3750,0.087209,1209.376793
12,3750,0.087142,1210.314508
12,3750,0.086736,1215.968167
12,3750,0.082743,1274.659213
12,3750,0.087721,1202.324098
12,4000,0.102730,1245.981042
12,4000,0.112453,1138.256979
12,4000,0.102917,1243.724342
12,4000,0.099100,1291.628545
12,4000,0.103234,1239.897655
12,4250,0.120617,1272.880964
12,4250,0.118974,1290.459989
12,4250,0.118240,1298.466794
12,4250,0.128955,1190.576770
12,4250,0.121376,1264.920094
12,4500,0.137290,1327.486101
12,4500,0.138272,1318.055652
12,4500,0.142572,1278.301472
12,4500,0.143486,1270.161204
12,4500,0.142914,1275.242677
12,4750,0.161180,1329.840259
12,4750,0.164140,1305.858150
12,4750,0.161849,1324.340641
12,4750,0.164434,1303.525212
12,4750,0.162147,1321.906861
12,5000,0.190353,1313.346842
12,5000,0.191164,1307.775262
12,5000,0.188054,1329.407773
12,5000,0.189980,1315.926960
12,5000,0.188248,1328.035548
12,5250,0.218865,1322.302912
12,5250,0.227346,1272.978744
12,5250,0.217461,1330.843894
12,5250,0.216483,1336.855278
12,5250,0.218082,1327.054873
12,5500,0.247320,1345.421683
12,5500,0.245797,1353.761524
12,5500,0.242011,1374.938503
12,5500,0.246866,1347.898900
12,5500,0.245748,1354.028559
12,5750,0.272746,1394.038052
12,5750,0.273778,1388.783938
12,5750,0.285161,1333.347849
12,5750,0.279795,1358.920803
12,5750,0.287186,1323.947620
12,6000,0.318481,1356.436959
12,6000,0.316710,1364.024206
12,6000,0.323705,1334.547677
12,6000,0.320054,1349.771880
12,6000,0.317838,1359.184669
12,6250,0.367545,1328.492308
12,6250,0.362383,1347.416366
12,6250,0.368110,1326.454642
12,6250,0.360354,1355.003900
12,6250,0.363281,1344.088290
12,6500,0.396025,1386.906541
12,6500,0.402222,1365.538115
12,6500,0.401859,1366.772426
12,6500,0.401124,1369.277638
12,6500,0.401482,1368.055993
12,6750,0.455774,1349.557946
12,6750,0.457367,1344.858860
12,6750,0.459294,1339.216349
12,6750,0.457570,1344.261913
12,6750,0.466526,1318.456682
12,7000,0.509742,1345.778998
12,7000,0.506351,1354.790891
12,7000,0.514233,1334.026493
12,7000,0.503232,1363.187855
12,7000,0.500710,1370.054925
12,7250,0.557295,1367.599797
12,7250,0.569555,1338.161706
12,7250,0.555596,1371.780498
12,7250,0.559623,1361.909175
12,7250,0.559152,1363.056175
12,7500,0.613984,1374.222313
12,7500,0.614792,1372.416319
12,7500,0.620668,1359.422924
12,7500,0.618956,1363.183269
12,7500,0.619894,1361.120079
12,7750,0.677787,1373.541563
12,7750,0.676650,1375.849344
12,7750,0.667491,1394.728334
12,7750,0.676894,1375.353408
12,7750,0.670097,1389.303669
12,8000,0.732453,1398.041867
12,8000,0.739886,1383.996745
12,8000,0.743563,1377.153627
12,8000,0.739645,1384.447988
12,8000,0.735652,1391.962703
12,8250,0.806345,1392.742822
12,8250,0.807707,1390.394747
12,8250,0.810523,1385.563348
12,8250,0.806011,1393.320393
12,8250,0.797736,1407.772704
12,8500,0.884192,1389.121132
12,8500,0.878460,1398.185477
12,8500,0.886172,1386.017508
12,8500,0.883917,1389.553266
12,8500,0.867832,1415.308501
12,8750,0.955334,1402.487038
12,8750,0.959257,1396.751465
12,8750,0.963434,1390.695635
12,8750,0.961963,1392.823162
12,8750,0.952549,1406.588133
12,9000,1.046602,1393.080158
12,9000,1.038364,1404.131782
12,9000,1.038482,1403.971935
12,9000,1.065086,1368.903698
12,9000,1.053010,1384.602829
12,9250,1.145087,1382.345738
12,9250,1.159498,1365.164567
12,9250,1.145304,1382.083601
12,9250,1.146671,1380.435975
12,9250,1.138746,1390.043569
12,9500,1.221470,1403.841171
12,9500,1.247830,1374.185464
12,9500,1.237851,1385.263646
12,9500,1.238300,1384.761707
12,9500,1.227466,1396.983279
12,9750,1.339558,1383.828373
12,9750,1.333338,1390.284040
12,9750,1.350771,1372.341207
12,9750,1.346542,1376.650983
12,9750,1.329997,1393.776373
12,10000,1.429886,1398.712982
12,10000,1.456417,1373.233060
12,10000,1.438245,1390.583226
12,10000,1.437861,1390.955132
12,10000,1.454951,1374.616686
12,10250,1.579197,1363.845951
12,10250,1.559456,1381.111035
12,10250,1.567697,1373.850556
12,10250,1.562406,1378.502632
12,10250,1.567408,1374.104126
12,10500,1.665786,1389.884588
12,10500,1.623366,1426.202939
12,10500,1.637905,1413.543461
12,10500,1.639189,1412.435964
12,10500,1.659664,1395.011357
12,10750,1.760092,1411.627242
12,10750,1.762415,1409.766520
12,10750,1.769300,1404.280560
12,10750,1.767750,1405.512102
12,10750,1.764302,1408.258614
12,11000,1.917124,1388.538097
12,11000,1.896860,1403.371936
12,11000,1.898322,1402.290962
12,11000,1.895810,1404.149491
12,11000,1.889273,1409.007588
12,11250,2.018210,1410.981471
12,11250,1.992217,1429.390768
12,11250,1.998231,1425.088963
12,11250,2.050537,1388.737120
12,11250,2.052734,1387.250435
12,11500,2.180737,1394.826518
12,11500,2.133275,1425.859485
12,11500,2.142040,1420.024774
12,11500,2.152845,1412.897634
12,11500,2.123585,1432.365591
12,11750,2.302338,1409.206181
12,11750,2.342061,1385.305169
12,11750,2.334037,1390.067337
12,11750,2.314054,1402.071612
12,11750,2.342733,1384.907675
12,12000,2.424085,1425.692345
12,12000,2.453983,1408.322783
12,12000,2.474870,1396.437188
12,12000,2.444673,1413.686009
12,12000,2.471264,1398.474778
12,12250,2.633492,1396.066919
12,12250,2.619236,1403.665612
12,12250,2.623551,1401.356650
12,12250,2.590828,1419.056552
12,12250,2.649347,1387.712485
12,12500,2.786237,1401.980743
12,12500,2.773332,1408.504487
12,12500,2.786409,1401.893957
12,12500,2.755384,1417.678832
12,12500,2.736541,1427.440474
12,12750,3.002538,1380.613289
12,12750,2.970499,1395.504088
12,12750,2.966969,1397.164395
12,12750,2.956336,1402.189884
12,12750,2.985302,1388.584516
12,13000,3.129825,1403.912353
12,13000,3.158207,1391.295611
12,13000,3.171229,1385.582537
12,13000,3.122208,1407.337336
12,13000,3.153966,1393.166726
12,13250,3.348977,1389.202354
12,13250,3.366803,1381.846986
12,13250,3.365392,1382.426260
12,13250,3.335638,1394.757718
12,13250,3.320030,1401.314652
12,13500,3.477248,1415.127792
12,13500,3.449109,1426.672635
12,13500,3.485788,1411.660522
12,13500,3.434512,1432.736134
12,13500,3.505998,1403.523424
12,13750,3.676266,1414.266376
12,13750,3.696149,1406.658235
12,13750,3.687509,1409.954096
12,13750,3.678890,1413.257552
12,13750,3.692100,1408.200769
12,14000,3.879388,1414.656050
12,14000,3.877384,1415.387289
12,14000,3.898421,1407.749417
12,14000,3.886827,1411.948544
12,14000,3.892007,1410.069478
12,14250,4.078143,1419.097068
12,14250,4.085159,1416.659867
12,14250,4.124091,1403.286571
12,14250,4.143547,1396.697270
12,14250,4.108198,1408.715252
12,14500,4.324075,1410.070463
12,14500,4.338640,1405.336638
12,14500,4.346208,1402.889665
12,14500,4.359523,1398.604818
12,14500,4.324050,1410.078491
12,14750,4.583354,1400.305105
12,14750,4.584202,1400.045892
12,14750,4.555197,1408.960637
12,14750,4.550816,1410.317099
12,14750,4.583505,1400.259042
12,15000,4.826117,1398.639975
12,15000,4.832287,1396.854217
12,15000,4.846332,1392.805897
12,15000,4.804201,1405.020387
12,15000,4.924084,1370.813254
12,15250,5.092911,1392.750781
12,15250,5.034543,1408.897834
12,15250,5.064396,1400.592852
12,15250,5.107567,1388.754524
12,15250,5.148131,1377.811924
12,15500,5.335449,1395.899468
12,15500,5.335754,1395.819700
12,15500,5.342880,1393.957974
12,15500,5.341804,1394.238602
12,15500,5.328866,1397.623902
12,15750,5.552039,1407.405151
12,15750,5.630876,1387.700414
12,15750,5.636935,1386.208789
12,15750,5.668188,1378.565463
12,15750,5.627136,1388.622792
12,16000,5.890022,1390.826657
12,16000,5.878784,1393.485546
12,16000,5.872955,1394.868542
12,16000,5.889685,1390.906280
12,16000,5.866429,1396.420322
12,16250,6.215455,1380.756802
12,16250,6.125469,1401.040631
12,16250,6.187820,1386.923190
12,16250,6.201513,1383.860896
12,16250,6.212261,1381.466595
12,16500,6.317980,1422.013135
12,16500,6.305700,1424.782415
12,16500,6.337252,1417.688560
12,16500,6.340338,1416.998613
12,16500,6.350812,1414.661718
12,16750,6.738944,1394.705656
12,16750,6.796722,1382.849579
12,16750,6.727320,1397.115638
12,16750,6.739601,1394.569686
12,16750,6.671533,1408.798300
12,17000,6.947173,1414.388260
12,17000,6.901159,1423.818891
12,17000,7.006450,1402.422115
12,17000,6.804465,1444.051869
12,17000,6.940640,1415.719555
12,17250,7.409428,1385.519390
12,17250,7.348665,1396.975709
12,17250,7.379825,1391.077220
12,17250,7.325742,1401.346944
12,17250,7.232882,1419.338284
12,17500,7.600209,1410.322990
12,17500,7.647922,1401.524553
12,17500,7.599405,1410.472301
12,17500,7.583719,1413.389635
12,17500,7.642556,1402.508591
12,17750,7.919044,1412.382446
12,17750,7.963319,1404.529802
12,17750,7.869658,1421.245909
12,17750,7.895365,1416.618256
12,17750,7.944305,1407.891488
12,18000,8.333257,1399.692768
12,18000,8.254179,1413.102354
12,18000,8.321251,1401.712342
12,18000,8.177999,1426.265848
12,18000,8.287096,1407.489353
12,18250,8.585038,1416.042739
12,18250,8.685604,1399.647178
12,18250,8.734674,1391.784196
12,18250,8.679228,1400.675368
12,18250,8.518510,1427.101790
12,18500,8.873479,1427.089704
12,18500,9.003321,1406.508729
12,18500,9.080642,1394.532430
12,18500,8.926635,1418.591654
12,18500,8.974763,1410.984398
12,18750,9.411322,1400.822703
12,18750,9.400112,1402.493262
12,18750,9.422407,1399.174699
12,18750,9.409649,1401.071846
12,18750,9.381981,1405.203701
12,19000,9.611846,1427.197306
12,19000,9.657810,1420.404877
12,19000,9.906174,1384.792989
12,19000,9.944714,1379.426233
12,19000,9.814923,1397.667578
12,19250,10.083116,1414.905539
12,19250,9.989995,1428.094380
12,19250,10.083578,1414.840612
12,19250,10.047731,1419.888393
12,19250,10.084048,1414.774732
12,19500,10.491436,1413.509968
12,19500,10.486071,1414.233237
12,19500,10.515715,1410.246468
12,19500,10.532500,1407.998994
12,19500,10.481269,1414.881111
12,19750,10.991283,1401.789878
12,19750,10.848551,1420.232912
12,19750,10.877156,1416.497863
12,19750,10.839281,1421.447453
12,19750,10.837816,1421.639627
12,20000,11.274999,1419.068807
12,20000,11.248574,1422.402569
12,20000,11.311057,1414.545068
12,20000,11.293139,1416.789390
12,20000,11.557773,1384.349767
