#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.067802,235.981006
12,2000,0.023805,672.137417
12,2000,0.025038,639.040978
12,2000,0.025212,634.616875
12,2000,0.023782,672.790263
12,2250,0.035065,649.692207
12,2250,0.034176,666.594393
12,2250,0.035230,646.652314
12,2250,0.032795,694.646941
12,2250,0.033376,682.555740
12,2500,0.044742,698.449478
12,2500,0.045987,679.546756
12,2500,0.044792,697.671267
12,2500,0.044340,704.778089
12,2500,0.044828,697.111733
12,2750,0.057733,720.451611
12,2750,0.062257,668.100879
12,2750,0.058060,716.386713
12,2750,0.058128,715.553912
12,2750,0.058597,709.825223
12,3000,0.073465,735.045569
12,3000,0.074147,728.286807
12,3000,0.073302,736.675082
12,3000,0.074300,726.784827
12,3000,0.073335,736.342001
12,3250,0.091543,749.986184
12,3250,0.092288,743.937271
12,3250,0.094456,726.860173
12,3250,0.092139,745.137571
12,3250,0.092309,743.768172
12,3500,0.113866,753.075210
12,3500,0.113801,753.509847
12,3500,0.113691,754.236514
12,3500,0.113888,752.934002
12,3500,0.114587,748.340147
12,3750,0.136777,771.102311
12,3750,0.136396,773.254843
12,3750,0.137500,767.043496
12,3750,0.136262,774.016779
12,3750,0.136570,772.268285
12,4000,0.163477,782.985083
12,4000,0.163769,781.586663
12,4000,0.164906,776.197981
12,4000,0.163804,781.423111
12,4000,0.163873,781.093247
12,4250,0.202464,758.312782
12,4250,0.199007,771.485906
12,4250,0.204267,751.620678
12,4250,0.199396,769.983124
12,4250,0.197693,776.613009
12,4500,0.235957,772.385895
12,4500,0.232399,784.212193
12,4500,0.237741,766.589905
12,4500,0.234380,777.582639
12,4500,0.231742,786.433822
12,4750,0.279371,767.236238
12,4750,0.279200,767.706187
12,4750,0.276815,774.321597
12,4750,0.282194,759.560893
12,4750,0.278559,769.473662
12,5000,0.328094,761.977693
12,5000,0.325716,767.539245
12,5000,0.328365,761.347107
12,5000,0.325838,767.253072
12,5000,0.350795,712.666375
12,5250,0.371931,778.118702
12,5250,0.372140,777.681894
12,5250,0.375635,770.444559
12,5250,0.377989,765.646570
12,5250,0.371682,778.639978
12,5500,0.423709,785.327397
12,5500,0.426428,780.319520
12,5500,0.423080,786.494295
12,5500,0.421897,788.699649
12,5500,0.422140,788.244962
12,5750,0.479932,792.234403
12,5750,0.479488,792.968831
12,5750,0.479267,793.333578
12,5750,0.479799,792.454115
12,5750,0.475283,799.983696
12,6000,0.540335,799.504602
12,6000,0.544769,792.996985
12,6000,0.544806,792.942838
12,6000,0.555216,778.075043
12,6000,0.544267,793.728701
12,6250,0.623832,782.712921
12,6250,0.612280,797.480407
12,6250,0.622082,784.915035
12,6250,0.616651,791.828092
12,6250,0.615989,792.678903
12,6500,0.700914,783.619535
12,6500,0.687792,798.569544
12,6500,0.687640,798.746132
12,6500,0.691380,794.426165
12,6500,0.681275,806.209184
12,6750,0.772490,796.248047
12,6750,0.774095,794.597381
12,6750,0.773860,794.838198
12,6750,0.781151,787.419501
12,6750,0.775887,792.762496
12,7000,0.879765,779.753905
12,7000,0.869365,789.081353
12,7000,0.874797,784.182039
12,7000,0.876263,782.870192
12,7000,0.880043,779.506948
12,7250,0.963408,791.104337
12,7250,0.955076,798.005907
12,7250,0.953644,799.204181
12,7250,0.963188,791.284999
12,7250,0.959544,794.290033
12,7500,1.079444,781.652251
12,7500,1.072008,787.074440
12,7500,1.156097,729.826457
12,7500,1.075482,784.532073
12,7500,1.075541,784.489049
12,7750,1.206821,771.422681
12,7750,1.176361,791.397269
12,7750,1.169263,796.201051
12,7750,1.167834,797.175426
12,7750,1.167967,797.084794
12,8000,1.284853,796.978579
12,8000,1.323007,773.994433
12,8000,1.291261,793.023509
12,8000,1.295241,790.586284
12,8000,1.284017,797.497119
12,8250,1.405413,799.075886
12,8250,1.401067,801.554186
12,8250,1.407479,797.902387
12,8250,1.405073,799.268900
12,8250,1.408385,797.389442
12,8500,1.539232,797.962695
12,8500,1.543256,795.882346
12,8500,1.541063,797.014787
12,8500,1.540033,797.547947
12,8500,1.556355,789.183598
12,8750,1.674511,800.140123
12,8750,1.672715,800.999366
12,8750,1.666493,803.989975
12,8750,1.692467,791.651297
12,8750,1.673901,800.431656
12,9000,1.836616,793.851165
12,9000,1.809816,805.606756
12,9000,1.814713,803.432817
12,9000,1.813067,804.162137
12,9000,1.810558,805.276685
12,9250,1.998572,792.018578
12,9250,2.062688,767.399795
12,9250,1.996398,792.881140
12,9250,2.004323,789.745984
12,9250,1.996659,792.777593
12,9500,2.120703,808.576308
12,9500,2.119121,809.179783
12,9500,2.136023,802.776902
12,9500,2.123456,807.527957
12,9500,2.126080,806.531412
12,9750,2.293731,808.167419
12,9750,2.290575,809.281097
12,9750,2.298167,806.607502
12,9750,2.291883,808.819221
12,9750,2.294640,807.847468
12,10000,2.494860,801.648271
12,10000,2.482413,805.667848
12,10000,2.499335,800.212810
12,10000,2.482513,805.635155
12,10000,2.496398,801.154397
12,10250,2.700794,797.462327
12,10250,2.691418,800.240412
12,10250,2.696888,798.617245
12,10250,2.698402,798.169220
12,10250,2.702646,796.915771
12,10500,2.891773,800.633517
12,10500,2.892153,800.528073
12,10500,2.938896,787.795706
12,10500,2.884320,802.702222
12,10500,2.883004,803.068493
12,10750,3.166470,784.657271
12,10750,3.173979,782.800826
12,10750,3.170990,783.538805
12,10750,3.162699,785.592780
12,10750,3.166824,784.569510
12,11000,3.318661,802.130812
12,11000,3.310111,804.202672
12,11000,3.310839,804.025904
12,11000,3.324938,800.616338
12,11000,3.312779,803.555017
12,11250,3.547761,802.662926
12,11250,3.546252,803.004390
12,11250,3.541075,804.178494
12,11250,3.543102,803.718297
12,11250,3.550759,801.985323
12,11500,3.762955,808.340759
